index,pt_count,dataset_id,timestamp,displacement,filtered,intensity,casing_thickness
0,100.0,0.0,0.0,15.0,15.0,0.0,4.968
1,100.0,0.0,1.0,15.0,15.0,0.0,4.968
2,100.0,0.0,2.0,15.0,15.0,0.0,4.968
3,100.0,0.0,3.0,15.0,15.0,0.0,4.968
4,100.0,0.0,4.0,15.0,15.0,0.0,4.968
5,100.0,0.0,5.0,15.0,15.0,0.0,4.968
6,100.0,0.0,6.0,15.0,15.0,0.0,4.968
7,100.0,0.0,7.0,15.0,15.0,0.0,4.968
8,100.0,0.0,8.0,15.0,15.0,0.0,4.968
9,100.0,0.0,9.0,15.0,15.0,0.0,4.968
10,100.0,0.0,10.0,15.0,15.0,0.0,4.968
11,100.0,0.0,11.0,15.0,15.0,0.0,4.968
12,100.0,0.0,12.0,15.0,15.0,0.0,4.968
13,100.0,0.0,13.0,15.0,15.0,0.0,4.968
14,100.0,0.0,14.0,15.0,15.0,0.0,4.968
15,100.0,0.0,15.0,15.0,15.0,0.0,4.968
16,100.0,0.0,16.0,15.0,15.0,0.0,4.968
17,100.0,0.0,17.0,15.0,15.0,0.0,4.968
18,100.0,0.0,18.0,15.0,15.0,0.0,4.968
19,100.0,0.0,19.0,15.0,15.0,0.0,4.968
20,100.0,0.0,20.0,15.0,15.0,0.0,4.968
21,100.0,0.0,21.0,15.0,15.0,0.0,4.968
22,100.0,0.0,22.0,15.0,15.0,0.0,4.968
23,100.0,0.0,23.0,15.0,15.0,0.0,4.968
24,100.0,0.0,24.0,15.0,15.0,0.0,4.968
25,100.0,0.0,25.0,15.0,15.0,5.76171875,4.968
26,100.0,0.0,26.0,15.0,15.0,6.0546875,4.968
27,100.0,0.0,27.0,15.0,15.0,6.640625,4.968
28,100.0,0.0,28.0,15.0,15.0,0.0,4.968
29,100.0,0.0,29.0,15.0,15.0,18.1640625,4.968
30,100.0,0.0,30.0,15.0,15.0,0.0,4.968
31,100.0,0.0,31.0,15.0,15.0,6.34765625,4.968
32,100.0,0.0,32.0,15.0,15.0,0.0,4.968
33,100.0,0.0,33.0,15.0,15.0,0.0,4.968
34,100.0,0.0,34.0,15.0,15.0,0.0,4.968
35,100.0,0.0,35.0,15.0,15.0,0.0,4.968
36,100.0,0.0,36.0,15.0,15.0,0.0,4.968
37,100.0,0.0,37.0,15.0,15.0,0.0,4.968
38,100.0,0.0,38.0,15.0,15.0,0.0,4.968
39,100.0,0.0,39.0,6.110761,6.110761,5.37109375,4.968
40,100.0,0.0,40.0,6.110761,6.110761,0.0,4.968
41,100.0,0.0,41.0,6.110761,6.110761,0.0,4.968
42,100.0,0.0,42.0,6.110761,6.110761,0.0,4.968
43,100.0,0.0,43.0,6.110761,6.110761,0.0,4.968
44,100.0,0.0,44.0,6.110761,6.110761,0.0,4.968
45,100.0,0.0,45.0,6.110761,6.110761,0.0,4.968
46,100.0,0.0,46.0,6.110761,6.110761,0.0,4.968
47,100.0,0.0,47.0,6.110761,6.110761,0.0,4.968
48,100.0,0.0,48.0,6.110761,6.110761,0.0,4.968
49,100.0,0.0,49.0,6.110761,6.110761,0.0,4.968
50,100.0,0.0,50.0,15.0,15.0,0.0,4.968
51,100.0,0.0,51.0,15.0,15.0,0.0,4.968
52,100.0,0.0,52.0,15.0,15.0,0.0,4.968
53,100.0,0.0,53.0,15.0,15.0,0.0,4.968
54,100.0,0.0,54.0,15.0,15.0,0.0,4.968
55,100.0,0.0,55.0,15.0,15.0,0.0,4.968
56,100.0,0.0,56.0,15.0,15.0,0.0,4.968
57,100.0,0.0,57.0,15.0,15.0,0.0,4.968
58,100.0,0.0,58.0,15.0,15.0,0.0,4.968
59,100.0,0.0,59.0,15.0,15.0,0.0,4.968
60,100.0,0.0,60.0,15.0,15.0,0.0,4.968
61,100.0,0.0,61.0,15.0,15.0,0.0,4.968
62,100.0,0.0,62.0,15.0,15.0,0.0,4.968
63,100.0,0.0,63.0,15.0,15.0,0.0,4.968
64,100.0,0.0,64.0,15.0,15.0,0.0,4.968
65,100.0,0.0,65.0,15.0,15.0,0.0,4.968
66,100.0,0.0,66.0,15.0,15.0,0.0,4.968
67,100.0,0.0,67.0,15.0,15.0,0.0,4.968
68,100.0,0.0,68.0,15.0,15.0,0.0,4.968
69,100.0,0.0,69.0,15.0,15.0,0.0,4.968
70,100.0,0.0,70.0,15.0,15.0,0.0,4.968
71,100.0,0.0,71.0,15.0,15.0,0.0,4.968
72,100.0,0.0,72.0,15.0,15.0,0.0,4.968
73,100.0,0.0,73.0,15.0,15.0,0.0,4.968
74,100.0,0.0,74.0,15.0,15.0,0.0,4.968
75,100.0,0.0,75.0,15.0,15.0,0.0,4.968
76,100.0,0.0,76.0,15.0,15.0,0.0,4.968
77,100.0,0.0,77.0,15.0,15.0,0.0,4.968
78,100.0,0.0,78.0,15.0,15.0,0.0,4.968
79,100.0,0.0,79.0,15.0,15.0,0.0,4.968
80,100.0,0.0,80.0,15.0,15.0,0.0,4.968
81,100.0,0.0,81.0,15.0,15.0,0.0,4.968
82,100.0,0.0,82.0,15.0,15.0,0.0,4.968
83,100.0,0.0,83.0,15.0,15.0,0.0,4.968
84,100.0,0.0,84.0,15.0,15.0,0.0,4.968
85,100.0,0.0,85.0,15.0,15.0,0.0,4.968
86,100.0,0.0,86.0,15.0,15.0,0.0,4.968
87,100.0,0.0,87.0,15.0,15.0,0.0,4.968
88,100.0,0.0,88.0,15.0,15.0,0.0,4.968
89,100.0,0.0,89.0,15.0,15.0,0.0,4.968
90,100.0,0.0,90.0,15.0,15.0,0.0,4.968
91,100.0,0.0,91.0,15.0,15.0,0.0,4.968
92,100.0,0.0,92.0,15.0,15.0,0.0,4.968
93,100.0,0.0,93.0,15.0,15.0,0.0,4.968
94,100.0,0.0,94.0,15.0,15.0,0.0,4.968
95,100.0,0.0,95.0,15.0,15.0,0.0,4.968
96,100.0,0.0,96.0,15.0,15.0,0.0,4.968
97,100.0,0.0,97.0,15.0,15.0,0.0,4.968
98,100.0,0.0,98.0,15.0,15.0,0.0,4.968
99,100.0,0.0,99.0,15.0,15.0,0.0,4.968
100,100.0,1.0,100.0,15.0,15.0,0.0,4.968
101,100.0,1.0,101.0,15.0,15.0,0.0,4.968
102,100.0,1.0,102.0,15.0,15.0,0.0,4.968
103,100.0,1.0,103.0,15.0,15.0,0.0,4.968
104,100.0,1.0,104.0,15.0,15.0,0.0,4.968
105,100.0,1.0,105.0,15.0,15.0,0.0,4.968
106,100.0,1.0,106.0,15.0,15.0,0.0,4.968
107,100.0,1.0,107.0,15.0,15.0,0.0,4.968
108,100.0,1.0,108.0,15.0,15.0,0.0,4.968
109,100.0,1.0,109.0,15.0,15.0,0.0,4.968
110,100.0,1.0,110.0,15.0,15.0,0.0,4.968
111,100.0,1.0,111.0,15.0,15.0,0.0,4.968
112,100.0,1.0,112.0,15.0,15.0,0.0,4.968
113,100.0,1.0,113.0,15.0,15.0,0.0,4.968
114,100.0,1.0,114.0,15.0,15.0,0.0,4.968
115,100.0,1.0,115.0,15.0,15.0,0.0,4.968
116,100.0,1.0,116.0,15.0,15.0,0.0,4.968
117,100.0,1.0,117.0,15.0,15.0,0.0,4.968
118,100.0,1.0,118.0,15.0,15.0,0.0,4.968
119,100.0,1.0,119.0,15.0,15.0,0.0,4.968
120,100.0,1.0,120.0,15.0,15.0,0.0,4.968
121,100.0,1.0,121.0,15.0,15.0,0.0,4.968
122,100.0,1.0,122.0,15.0,15.0,0.0,4.968
123,100.0,1.0,123.0,15.0,15.0,0.0,4.968
124,100.0,1.0,124.0,15.0,15.0,0.0,4.968
125,100.0,1.0,125.0,15.0,15.0,0.0,4.968
126,100.0,1.0,126.0,15.0,15.0,0.0,4.968
127,100.0,1.0,127.0,15.0,15.0,0.0,4.968
